"run_id","version","artifact_version","suite","case_id","is_multiturn","case_failure_type","observed_mismatch","expected_tool","actual_tool","passed","routing_correct","args_correct","failures"
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G01_specific_url_wins","False","wrong_tool","","fetch","fetch","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G02_missing_account_is_clarified","False","missing_info","","clarify","clarify","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G03_send_needs_confirmation","False","wrong_boundary","","clarify","clarify","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G04_social_top_is_not_latest","False","wrong_arg_value","","social_search","social_search","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G05_non_research_no_tool","False","out_of_scope","","no_tool","","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G06_multiturn_account_then_limit","True","missing_info","","timeline","timeline","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G07_multiturn_url_then_fetch","True","missing_info","","fetch","fetch","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G08_multiturn_switch_to_news","True","wrong_tool","","lookup","lookup","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G09_multiturn_top_correction","True","wrong_arg_value","","social_search","social_search","True","True","True",""
"v3_B_group_openrouter_20260729T112047597434","v3","v3+peb0bd0badfef+t3d8eeaa65449","group","G10_multiturn_draft_not_send","True","wrong_boundary","","no_tool","","True","True","True",""
